id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
15SaAt309LBV0n17e5eSnP,Griseta - Remasterizado,9,136040,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1931-06-25,0.726,0.228,5,-16.387,1,0.278,0.96,5.02e-06,0.093,0.66,68.058,3
4FmnUrA4cN7bsTuHNuEOqv,Little Jack Frost Get Lost (with Marjorie Hughes) - 78rpm Version,14,164160,0,"['Frankie Carle', 'Marjorie Hughes']","['40SRPccslwLmXEIf9hZUJu', '0uLyz5wCWsQt9C96NkQhiO']",1932,0.779,0.247,10,-12.5,0,0.0338,0.942,0.000578,0.153,0.732,135.87,4
1vFZxlwFxPyZPIX62zKAgJ,Rose Room,21,164603,0,['Django Reinhardt'],['5Z1XZyEFY0dewG8faEIiEx'],1935,0.804,0.493,7,-10.321,1,0.0438,0.786,0.738,0.0809,0.888,94.804,4
7p00m6KWofT0FGWEQoGEQQ,Indiferencia (Con Alberto Echague),8,154070,0,"[""Juan D'Arienzo""]",['46beGPwcX2QEZcmuvrMqp4'],1937-04-12,0.794,0.128,7,-13.13,0,0.163,0.94,0.0,0.258,0.642,129.111,4
3ddHcqV0TBPAdBiIqqa3YL,Cuartito Azul - Remasterizado,10,195427,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1940-06-26,0.47,0.109,6,-17.604,1,0.0669,0.992,1.26e-06,0.12,0.461,53.17,4
72QbRgwE1ASmwXqV7zi2dR,Gianni Schicchi: O mio babbino caro,21,137267,0,"['Giacomo Puccini', 'Ying Huang', 'James Conlon']","['0OzxPXyowUEQ532c9AmHUR', '4Z1SSIPLSNMM06SSaYSIm2', '5dCokwmhQtMw1dxLg3ka2x']",1946,0.253,0.0891,8,-23.969,1,0.0428,0.971,0.0632,0.287,0.0622,81.119,4
6oHryDXnP5z3xcaE5QI88i,Cuesta Abajo,5,190227,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1946-10-12,0.507,0.311,3,-5.669,1,0.0695,0.99,0.0,0.112,0.487,175.279,3
6yhLR2sVn1IfsScVrR4ocr,"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra)",62,123360,0,"['Doris Day', 'Frank DeVol & His Orchestra']","['3ESG6pj6a0LvUKklENalT6', '2N0Yx2ISFxGV0yt7xffcnd']",1948,0.416,0.341,9,-10.749,1,0.0391,0.864,0.0,0.724,0.776,177.229,4
0UsdtLayy7SqJ4rUsDMRk8,"Perhaps, Perhaps, Perhaps",57,151707,0,['Doris Day'],['3ESG6pj6a0LvUKklENalT6'],1948,0.616,0.271,9,-12.215,0,0.0414,0.759,8.47e-06,0.0781,0.649,104.519,4
5NGtFXVpXSvwunEIGeviY3,Gymnopédie No. 1,69,205867,0,"['Erik Satie', 'Philippe Entremont']","['459INk8vcC0ebEef82WjIK', '4x2fCu6MNErew0pb64yOBO']",1949,0.469,0.0128,7,-36.856,1,0.119,0.994,0.937,0.0941,0.354,72.765,3
4L69BoE55Rl105sozTJNfK,Rigoletito,34,203787,0,['Acerina Y Su Danzonera'],['3WsvaFzZ9DOpXr6YcrFkTh'],1949,0.35,0.59,10,-11.337,1,0.0682,0.48,0.395,0.259,0.799,134.729,4
7ltdj5XzKOV6bRldI9nt5e,We Need a Little Christmas,16,180827,0,['Angela Lansbury'],['0LtVJXnPR8msCJiE2DjHxy'],1949,0.499,0.457,3,-12.391,1,0.0593,0.755,0.0,0.434,0.766,128.896,4
5DIVWgTeJ2fPIxaY9e7ZKn,I've Got A Crush On You,56,196440,0,['Ella Fitzgerald'],['5V0MlUE1Bft0mbLlND7FJz'],1950-09-11,0.455,0.106,2,-14.086,1,0.0422,0.986,0.0,0.122,0.258,66.807,4
3jvNwwHkWjELV3QALVz47D,If You've Got the Money I've Got the Time,44,179307,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1950,0.545,0.392,2,-10.091,1,0.0481,0.83,9.41e-05,0.0903,0.951,208.426,4
2G8nwxfJFxk0iM7M7Nzzlu,"Give Me More, More, More (Of Your Kisses)",16,140133,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1950,0.519,0.397,2,-10.737,1,0.075,0.83,0.0,0.213,0.861,198.353,4
3bQruwRbJld9mYFRmO9taT,Travellin' Blues,16,174907,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1950,0.758,0.325,5,-8.938,1,0.0355,0.519,1.94e-05,0.152,0.676,127.075,4
2JR4xv4473QgAK5wgRPb6u,Mom and Dad's Waltz,12,185293,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1950,0.605,0.259,0,-10.788,1,0.0297,0.74,0.000136,0.0734,0.562,95.637,3
4hRnEc9d92ZoFMZtSQuTVH,Look What Thoughts Will Do,9,153013,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1950,0.742,0.224,9,-12.13,1,0.0309,0.775,7.05e-06,0.224,0.732,126.682,4
1wl5b2lw3YagQtZiYZbQWP,'Round Midnight,58,193840,0,['Thelonious Monk'],['4PDpGtF16XpqvXxsrFwQnN'],1951,0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648,4
09tSut5TyAFiAYSg38gjXE,I'm Working On a Road,21,169227,0,['Flatt & Scruggs'],['1iNNWK8bYjc5EK0waLk1J1'],1951,0.624,0.234,8,-13.32,1,0.031,0.907,3.48e-06,0.149,0.811,99.758,4
6wIIx1VBiE1J7FKxNPvtMa,Foggy Mountain Special,32,120840,0,['Flatt & Scruggs'],['1iNNWK8bYjc5EK0waLk1J1'],1952,0.618,0.497,8,-10.434,1,0.062,0.203,0.922,0.0841,0.977,109.371,4
4OOIKnoJzM3Oc3v11uraE4,Little Old Wine Drinker Me,15,168533,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1952-02-01,0.664,0.448,7,-12.553,1,0.0306,0.611,0.0738,0.0869,0.739,123.977,4
0zsKpQrofq6ADUJCcB8ixb,Almost Persuaded,12,188000,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1952-02-01,0.496,0.254,2,-14.153,1,0.0274,0.902,0.00218,0.0983,0.396,81.845,3
4R8cBLCm1FG3cdEtLLXBl1,Il n'y a pas d'amour heureux,38,146280,0,['Georges Brassens'],['5UWyW1PcEM8coxeqg3RIHr'],1953,0.634,0.0901,6,-16.02,0,0.0748,0.954,6.16e-06,0.12,0.513,81.056,4
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,68,191973,0,['Nat King Cole'],['7v4imS0moSyGdXyLgVTIV7'],1954-01-01,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,3
361wxJRa6M2sH1Epy2MAC1,Heartaches By The Number,49,176627,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1954,0.515,0.603,10,-6.246,1,0.0318,0.639,0.0,0.121,0.892,127.151,4
6AL5LBZf5MA7cjZvm40fpg,Anillo de Compromiso,43,194200,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.569,0.0507,0,-17.021,1,0.054,0.889,0.0,0.0679,0.298,117.579,3
2FmYKtcSZbKUIDbIu6UalF,Grítenme Piedras del Campo,41,173400,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.379,0.194,0,-14.048,1,0.0722,0.607,0.0,0.362,0.738,177.168,3
3agHxWiFTSPZzTgW4mgGwL,Nuestro Gran Amor,36,171507,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.444,0.0811,10,-17.278,1,0.0355,0.927,0.0,0.148,0.247,96.216,3
17fzU7mIuNfCNUGudh36m5,Te Amaré Vida Mía,26,174133,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.478,0.22,0,-17.233,1,0.0347,0.806,0.0,0.199,0.424,85.696,4
6VTlrr7j23GkOCTjAwIUOL,La Que Sea,24,181200,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.547,0.106,7,-18.331,1,0.0498,0.918,0.0,0.113,0.415,141.57,5
1VPaIQKoYh4FzTn8DhGa5P,Canción Mixteca - Qué Lejos Estoy,24,186627,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.456,0.124,9,-17.432,1,0.065,0.93,2.05e-06,0.11,0.192,133.647,4
1g8SEY3F2iliV1aJgqmQsv,Crazy Arms,23,152107,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1954,0.406,0.567,5,-7.24,1,0.036,0.605,0.0178,0.24,0.767,116.474,5
4j9KDCxtCSmTLTjq6INIrC,Hace un Año,23,205040,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.508,0.118,5,-16.519,1,0.0553,0.758,2.49e-06,0.0945,0.268,143.302,3
71I1BJb9IWf52sD8hfZa5c,Long Black Veil,16,181867,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1954,0.517,0.232,4,-17.093,1,0.0326,0.88,0.00999,0.104,0.39,63.252,4
4KM77RUl2IKdXGhtOBbKIS,Sixteen Tons,57,155902,0,['Tennessee Ernie Ford'],['7u6FSuqT3SWE2kO8rNVjfp'],1955-04-10,0.667,0.25,11,-18.533,1,0.217,0.757,0.0,0.25,0.412,144.145,4
5z2Gef9D3UgRquZXe7UUW4,"Shake, Rattle And Roll",54,149467,0,['Bill Haley & His Comets'],['3MFp4cYuYtTZe3d3xkLLbr'],1955-12-19,0.662,0.794,5,-6.942,1,0.152,0.206,0.0,0.149,0.841,168.106,3
7jTtfStRxwP2fZELVR9Ssk,"A Little Brains, A Little Talent",18,219493,0,['Gwen Verdon'],['3SpX7m9UHjT203kNscqadg'],1955,0.607,0.116,5,-15.649,1,0.0825,0.905,0.0,0.526,0.722,144.517,4
33kSQpLXzz9S99OwfjYcO1,Somebody Stole My Gal,16,140573,0,['Johnnie Ray'],['6SQKNCUKIWjR1pQ1U3PZZq'],1955-04-09,0.776,0.315,8,-11.6,1,0.0513,0.89,4.94e-05,0.23,0.72,108.864,4
1pZn8AX1WulW8IO338hE5D,Blue Moon,67,207827,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1956-01-01,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,4
0F845nujLVqCb0XMZCh5Pc,I Fall In Love Too Easily - Vocal Version,66,201440,0,['Chet Baker'],['3rxeQlsv0Sc2nyYaZ5W71T'],1956,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,4
4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,64,141133,0,['Chet Baker'],['3rxeQlsv0Sc2nyYaZ5W71T'],1956,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,4
47gmoUrZV3w20JAnQOZMcO,Blue Suede Shoes,63,119200,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1956-03-23,0.557,0.66,2,-7.706,1,0.056,0.654,1.66e-06,0.138,0.962,95.252,4
4gFlHAye7To29Fs4UszQUH,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,61,179640,0,['Chet Baker'],['3rxeQlsv0Sc2nyYaZ5W71T'],1956,0.442,0.033,10,-23.063,1,0.041,0.922,0.000171,0.151,0.21,103.34,3
78ntGe4xyecZHg9exQWwK6,Blue And Sentimental,60,146093,0,['Oscar Peterson'],['6zkX5fhrSD4tdVOmimR9wB'],1956-01-01,0.551,0.114,3,-24.78,0,0.0451,0.977,0.874,0.141,0.124,70.141,4
30QD4VRP9yEneOh0eGTrtJ,Solitude,56,207600,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1956-01-01,0.462,0.15,8,-13.531,1,0.0522,0.984,0.000902,0.105,0.19,98.66,3
1ntGJDSakqsaw1KhptKrB5,My Prayer,55,167800,0,['The Platters'],['6KWcxMWVNVIYbdOQyJtsSy'],1956-09-10,0.359,0.272,10,-8.393,1,0.0294,0.812,0.0,0.095,0.254,109.249,3
4m6OC8u2rC6LMFtFWsME7d,Time After Time - Vocal Version,53,166760,0,['Chet Baker'],['3rxeQlsv0Sc2nyYaZ5W71T'],1956,0.501,0.0454,0,-18.783,1,0.0388,0.938,3.76e-05,0.2,0.255,99.783,4
2DQ5r0crvortwaNRYcninK,Love Me,46,163787,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1956-10-19,0.505,0.11,5,-12.936,1,0.0317,0.952,0.0,0.125,0.167,72.115,4
2cwGK6ZYfiZ1EZva2VEKSN,Crazy Arms,43,152509,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1956,0.506,0.42,5,-9.785,1,0.0334,0.666,0.0,0.204,0.761,116.76,4
3dKBBjqOdZhr53Cq7dcVv1,Las Muchachas,29,177627,0,['La Sonora Matancera'],['01p7Homi0d4XxZ06f2NYYD'],1956-01-01,0.584,0.411,2,-10.88,1,0.0948,0.51,0.0,0.0705,0.968,111.112,4
3ss59erdfbBjnGbpfakXZI,Me Voy Pa' La Habana,23,168773,0,"['La Sonora Matancera', 'Nelson Pinedo']","['01p7Homi0d4XxZ06f2NYYD', '68YsvVAGVdlaJpk5sA21pq']",1956-01-01,0.754,0.405,2,-14.355,1,0.0502,0.798,0.00136,0.152,0.789,111.685,4
2AUrulo2MaRycLNEoD5Mc9,You Done Me Wrong,20,142245,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1956,0.534,0.425,4,-11.759,1,0.0287,0.786,0.0,0.133,0.842,144.003,3
1ypx1v2k1cQFX0Vrda7nEl,Release Me,19,161332,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1956,0.618,0.274,7,-11.782,1,0.0311,0.922,2.42e-05,0.108,0.439,128.884,4
0md3dDLRwrsgBQ59CfgmXO,She's Got to Be a Saint,18,228267,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1956,0.414,0.299,10,-12.293,1,0.0303,0.858,0.212,0.128,0.447,88.516,3
4vBDBspUXQQIOZgnEYPVnD,You're the Best Thing That Ever Happened to Me,17,228040,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1956,0.24,0.365,8,-12.226,1,0.0307,0.708,3.53e-05,0.0844,0.382,170.883,4
4VRQ1j8EJOUs5RFqJoNI7r,My Shoes Keep Walking Back to You,15,155434,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1956,0.4,0.536,7,-9.126,1,0.04,0.712,2.15e-06,0.237,0.722,121.14,4
78MI7mu1LV1k4IA2HzKmHe,Dream A Little Dream Of Me - Single Version,74,185160,0,"['Ella Fitzgerald', 'Louis Armstrong']","['5V0MlUE1Bft0mbLlND7FJz', '19eLuQmk9aCobbVDHc6eek']",1957-01-01,0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.497,4
2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,68,171467,0,['Ray Charles'],['1eYhYunlNJlDoQhtYBvPsi'],1957-01-01,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,4
4smkJW6uzoHxGReZqqwHS5,I'll Be Seeing You,66,211533,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1957-01-01,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,3
2iXcvnD3d1gfLBum0cE5Eg,Tutti Frutti,66,144227,0,['Little Richard'],['4xls23Ye9WR9yy3yYMpAMm'],1957-03,0.555,0.658,5,-3.866,1,0.0541,0.793,0.0,0.118,0.937,184.835,4
5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So",64,155507,0,['Ray Charles'],['1eYhYunlNJlDoQhtYBvPsi'],1957-01-01,0.696,0.547,5,-5.954,0,0.169,0.792,0.0,0.155,0.623,73.203,4
507IFqPuG8mBQoKebfGG9t,Long Tall Sally (The Thing),64,127427,0,['Little Richard'],['4xls23Ye9WR9yy3yYMpAMm'],1957-03,0.474,0.608,5,-5.139,1,0.0825,0.755,0.0,0.0928,0.888,184.694,4
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,58,129173,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1957-10-15,0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,4
0f2489MzoisF9pKduawvce,Autumn In New York,56,356627,0,"['Ella Fitzgerald', 'Louis Armstrong']","['5V0MlUE1Bft0mbLlND7FJz', '19eLuQmk9aCobbVDHc6eek']",1957-02-25,0.425,0.0469,7,-18.612,0,0.0354,0.955,0.0,0.137,0.154,135.335,4
20UjAGdEjVb8DniNXvqHJy,Maybe Baby,51,122600,0,['Buddy Holly & The Crickets'],['15jBNfRUPUgdZOTSaNoF5l'],1957-11-27,0.607,0.477,9,-12.904,1,0.0333,0.708,0.0,0.253,0.887,136.614,4
7vMICBgMH80JfGFaGSi8Yp,Maracangalha,44,167200,0,['Dorival Caymmi'],['7zsxdMsODmHKTbTB00t9wS'],1957-04-08,0.521,0.593,0,-7.304,1,0.0391,0.521,0.0,0.171,0.915,107.907,4
1A90MeRT3mXv6Vzid4QjCl,En El Mar,43,166667,0,"['La Sonora Matancera', 'Carlos Argentino']","['01p7Homi0d4XxZ06f2NYYD', '0QgnnEBmmhKUXaieGi5Ai1']",1957-01-01,0.797,0.32,2,-11.665,1,0.0782,0.707,0.0,0.0886,0.879,125.999,4
1BrS9cy4zHpXYq9oVYQJF5,Blue Ridge Cabin Home,36,175800,0,['Flatt & Scruggs'],['1iNNWK8bYjc5EK0waLk1J1'],1957,0.61,0.512,10,-9.256,1,0.0322,0.628,0.000548,0.221,0.884,125.988,4
5Nt1fjQVCtqUiuZUj7Fo9o,Todo Me Gusta De Ti,33,160733,0,['La Sonora Matancera'],['01p7Homi0d4XxZ06f2NYYD'],1957-01-01,0.614,0.287,3,-10.684,1,0.0294,0.627,0.0143,0.0471,0.517,112.806,4
2Xikq0zZxNmlrVbEM6dt6f,Manon Lescaut: Donna Non Vidi Mai...,23,174400,0,['Mario del Monaco'],['6EV5fvVvnySPqda0WodofO'],1957,0.286,0.186,10,-14.276,1,0.0362,0.993,0.156,0.072,0.199,84.957,3
0udLP23tFSnx6yTV7kyWMb,Randy Lynn Rag,22,123960,0,['Flatt & Scruggs'],['1iNNWK8bYjc5EK0waLk1J1'],1957,0.386,0.752,8,-9.789,1,0.0311,0.664,0.947,0.361,0.988,160.468,4
7tihZUkK5CdXXtPpukvm9e,Unchained Melody,22,158133,0,['Gene Vincent & His Blue Caps'],['7lKaTIgVek1R2lqpCulQmq'],1957-03-04,0.54,0.158,7,-17.694,1,0.0335,0.704,0.000482,0.096,0.303,122.286,3
4hurKoJaOsZHfHiI4feGyy,Double Talkin' Baby,20,132800,0,['Gene Vincent & His Blue Caps'],['7lKaTIgVek1R2lqpCulQmq'],1957-03-04,0.516,0.863,9,-7.027,1,0.0635,0.728,0.0,0.287,0.724,103.328,4
4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,71,146480,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1958-03-21,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,4
64Ny7djQ6rNJspquof2KoX,Hound Dog,69,136027,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1958-03-21,0.357,0.756,0,-8.492,1,0.0621,0.733,0.00505,0.76,0.95,174.797,4
2gNjmvuQiEd2z9SqyYi8HH,Summertime,67,298133,0,"['Louis Armstrong', 'Ella Fitzgerald']","['19eLuQmk9aCobbVDHc6eek', '5V0MlUE1Bft0mbLlND7FJz']",1958-01-01,0.172,0.0696,11,-21.295,0,0.0339,0.916,0.00199,0.137,0.103,167.974,5
39lnzOIUCSNaQmgBHoz7rt,Everyday,65,129120,0,['Buddy Holly'],['3wYyutjgII8LJVVOLrGI0D'],1958,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57e-05,0.107,0.498,135.562,4
4FlYcJnfkeBpowEHJ72Bmt,Rockin' Robin,64,160080,0,['Bobby Day'],['4SLfKHcufUqU46DiTAHIsj'],1958-01-01,0.541,0.608,7,-13.083,1,0.106,0.298,0.0,0.234,0.938,171.992,4
50RwvvEKX5Q7AZt8FTAwIF,That'll Be The Day,64,150133,0,['Buddy Holly'],['3wYyutjgII8LJVVOLrGI0D'],1958-06-01,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,4
2OARIMw1hpehr86Iwmv04c,Peggy Sue,63,150960,0,['Buddy Holly'],['3wYyutjgII8LJVVOLrGI0D'],1958,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373,4
2HUZVffVPXvqnrml0gXggp,Smokestack Lightnin',62,188400,0,"[""Howlin' Wolf""]",['0Wxy5Qka8BN9crcFkiAxSR'],1958-03-01,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,4
6xNwKNYZcvgV3XTIwsgNio,Heartbreak Hotel,61,127560,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1958-03-21,0.696,0.21,4,-11.922,1,0.067,0.84,1.62e-06,0.107,0.717,93.543,4
40fD7ct05FvQHLdQTgJelG,Splish Splash,61,131720,0,['Bobby Darin'],['0EodhzA6yW1bIdD5B4tcmJ'],1958,0.645,0.943,0,-1.526,1,0.0393,0.385,0.0,0.37,0.965,147.768,4
3MpGQae6zAFd7Z1FdLV9fV,Twilight Time - Single Version,61,168293,0,['The Platters'],['6KWcxMWVNVIYbdOQyJtsSy'],1958-01-01,0.455,0.361,9,-12.562,1,0.0473,0.747,0.0,0.238,0.285,115.854,3
5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,60,117080,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1958-03-21,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139,4
01u6AEzGbGbQyYVdxajxqk,Don't Be Cruel,60,122893,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1958-03-21,0.697,0.55,2,-11.496,1,0.18,0.856,3.44e-05,0.0907,0.844,84.802,4
760clbeDBWmBsBLbszWuNZ,I'm A Man,59,164547,0,['Bo Diddley'],['2bmixwMZXlkl2sbIbOfviq'],1958-01-01,0.513,0.546,0,-15.672,1,0.0391,0.333,0.0,0.17,0.834,85.527,4
5BLr7EEgi2JdKbMbYjFXas,It's A Lovely Day Today,58,148267,0,"['Ella Fitzgerald', 'Paul Weston And His Orchestra']","['5V0MlUE1Bft0mbLlND7FJz', '3EVyH5tLgdq62aXTdKfzey']",1958-01-01,0.573,0.275,8,-10.684,1,0.0534,0.84,0.0,0.196,0.588,140.9,4
33aYzW5ToRjiFOzkubeJ8H,Rave On,58,109960,0,['Buddy Holly'],['3wYyutjgII8LJVVOLrGI0D'],1958,0.566,0.711,0,-6.536,1,0.0335,0.611,6.59e-06,0.417,0.961,159.629,4
07GtDOCxmye5KDWsTSACPk,Chantilly Lace,57,145267,0,['The Big Bopper'],['2gNK2HAaLVz5DZoD2moDQj'],1958-01-01,0.489,0.806,3,-6.054,1,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,4
4GAhAw0RCzNVP976NRMOqO,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",57,161360,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1958-03-21,0.396,0.0373,9,-18.642,1,0.0416,0.907,4.41e-05,0.111,0.302,103.051,3
5ayybTSXNwcarDtxQKqvWX,Poor Little Fool - Remastered,56,153933,0,['Ricky Nelson'],['73sSFVlM6pkweLXE8qw1OS'],1958-07-01,0.474,0.338,0,-11.528,1,0.0299,0.648,0.0,0.13,0.81,154.596,4
2B4IYgIkBnemrp0YEkaUIH,Let's Have A Party,52,131200,0,['Wanda Jackson'],['5ZKMPRDHc7qElVJFh3uRqB'],1958-07-21,0.522,0.901,4,-8.559,1,0.0479,0.535,9.3e-06,0.176,0.916,166.885,4
09hxCc0SgV8u46gWsfeqJA,Rock And Roll Music,52,151773,0,['Chuck Berry'],['293zczrfYafIItmnmM3coR'],1958-03-01,0.529,0.768,8,-6.201,1,0.0446,0.418,0.000947,0.0655,0.871,165.225,4
3U9Kkv90QElks0pzIgfAxw,Words Of Love,46,117213,0,['Buddy Holly'],['3wYyutjgII8LJVVOLrGI0D'],1958,0.626,0.453,9,-10.118,1,0.0269,0.112,0.226,0.0539,0.615,129.402,4
7JO9xpBP2uwgMMINJkc43y,Trouble,41,136547,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1958-09-19,0.42,0.371,0,-10.952,1,0.315,0.873,0.0,0.294,0.882,85.539,4
